iso,name,show
Perinthus,Perinthus,1
Perperene,Perperene,1
Persia,Persia,1
Pessinus,Pessinus,1
Petra,Petra,1
Phalanna(Thessaly),Phalanna (Thessaly),1
Phanagoria,Phanagoria,1
PharbaetiteNome,Pharbaetite Nome,1
Pharsalos(Thessaly),Pharsalos (Thessaly),1
Phaselis(Lycia),Phaselis (Lycia),1
Phellos(Lycia),Phellos (Lycia),1
Pheneos,Pheneos,1
Pheneus,Pheneus,1
Phigaleia,Phigaleia,1
Philadelphia,Philadelphia,1
Philious(Philiasia),Philious (Philiasia),1
Philippi,Philippi,1
Philippoi,Philippoi,1
Philippopolis,Philippopolis,1
Philus,Philus,1
Phlius,Phlius,1
Phocaea,Phocaea,1
Phokaia,Phokaia,1
Phokis,Phokis,1
PhthenoteNome,Phthenote Nome,1
Pitane,Pitane,1
Plakia(Mysia),Plakia (Mysia),1
Pontus,Pontus,1
Posidonia,Posidonia,0
Priene,Priene,1
Priene?,Priene?,1
Prostanna(Pisidia),Prostanna (Pisidia),1
PrusaadOlympum,Prusa ad Olympum,1
PrusiasadHypium,Prusias ad Hypium,1
Prymnessus(Phrygia),Prymnessus (Phrygia),1
Psophis?(Arcadia),Psophis? (Arcadia),1
Ptolemaic,Ptolemaic,1
Ptolemais,Ptolemais,1
Ptolemais-Ake,Ptolemais-Ake,1
Ptolemais?,Ptolemais?,1
Punic,Punic,1
Pylus,Pylus,1
Rabbathmoba,Rabbathmoba,1
Raphanea?,Raphanea?,1
Raphia,Raphia,1
Ravenna,Ravenna,1
Rhegion,Rhegion,1
Rhegium,Rhegium,1
Rhesaena,Rhesaena,1
Rhodes,Rhodes,1
Rhodes(Caria),Rhodes (Caria),1
Rome,Rome,1
Rome,Rome ,1
Rome?,Rome?,1
Rome?,Rome? ,1
Rotomagus,Rotomagus,1
Rouen-Amiens,Rouen-Amiens,1
Sabratha,Sabratha,1
Sagalassos,Sagalassos,1
Sagalassos?,Sagalassos?,1
Sagalossos(Pisidia),Sagalossos (Pisidia),1
Saitta,Saitta,1
Sala,Sala,1
Salacia,Salacia,1
Salamis,Salamis,1
