period,Find.Territory,Source.Territory,Find.Site,Source.Site,sites.counts
Hellenistic,Balkans,Balkans,Athens,Akanthos,1
Hellenistic,Balkans,Balkans,Athens,Andros,10
Hellenistic,Balkans,Balkans,Athens,Aphytis,1
Hellenistic,Balkans,Balkans,Athens,Apollonia Pontica,1
Hellenistic,Balkans,Balkans,Athens,Aptera,1
Hellenistic,Balkans,Balkans,Athens,Argos (Argolis),11
Hellenistic,Balkans,Balkans,Athens,Arkadia,3
Hellenistic,Balkans,Balkans,Athens,Arsinoe,1
Hellenistic,Balkans,Balkans,Athens,Athens,7582
Hellenistic,Balkans,Balkans,Athens,Atrax (Thessaly),1
Hellenistic,Balkans,Balkans,Athens,Boetia,175
Hellenistic,Balkans,Balkans,Athens,Bottiaia,1
Hellenistic,Balkans,Balkans,Athens,Chalkis (Euboia),78
Hellenistic,Balkans,Balkans,Athens,Corinth (Corinthia),58
Hellenistic,Balkans,Balkans,Athens,Delos,16
Hellenistic,Balkans,Balkans,Athens,Elis,9
Hellenistic,Balkans,Balkans,Athens,Epidauros,10
Hellenistic,Balkans,Balkans,Athens,Eretria (Euboia),4
Hellenistic,Balkans,Balkans,Athens,Euboia,36
Hellenistic,Balkans,Balkans,Athens,Gomphoi (Thessaly),1
Hellenistic,Balkans,Balkans,Athens,Gyrton (Thessaly),4
Hellenistic,Balkans,Balkans,Athens,Halos (Thessaly),1
Hellenistic,Balkans,Balkans,Athens,Hephaistia (Lemnos),7
Hellenistic,Balkans,Balkans,Athens,Heraia (Arkadia),2
Hellenistic,Balkans,Balkans,Athens,Hermione,5
Hellenistic,Balkans,Balkans,Athens,Histiaia (Euboia),31
Hellenistic,Balkans,Balkans,Athens,Imbros,3
Hellenistic,Balkans,Balkans,Athens,Ioulis,3
Hellenistic,Balkans,Balkans,Athens,Karthaia,4
Hellenistic,Balkans,Balkans,Athens,Keos,8
Hellenistic,Balkans,Balkans,Athens,Kleitor (Arkadia),1
Hellenistic,Balkans,Balkans,Athens,Kleonai,2
Hellenistic,Balkans,Balkans,Athens,Knossos,1
Hellenistic,Balkans,Balkans,Athens,Koressia,3
Hellenistic,Balkans,Balkans,Athens,Korkyra (Epirus),5
Hellenistic,Balkans,Balkans,Athens,Kranion (Kephallenia),3
Hellenistic,Balkans,Balkans,Athens,Krannon (Thessaly),2
Hellenistic,Balkans,Balkans,Athens,Kythera,1
Hellenistic,Balkans,Balkans,Athens,Lakedaimon (Laconia),2
Hellenistic,Balkans,Balkans,Athens,Lamia (Thessaly),2
Hellenistic,Balkans,Balkans,Athens,Larissa (Thessaly),5
Hellenistic,Balkans,Balkans,Athens,Larissa Kremaste (Thessaly),1
Hellenistic,Balkans,Balkans,Athens,Leukas (Akarnania),2
Hellenistic,Balkans,Balkans,Athens,Lokris,35
Hellenistic,Balkans,Balkans,Athens,Magnetes (Thessaly),7
Hellenistic,Balkans,Balkans,Athens,Mantineia (Arkadia),3
Hellenistic,Balkans,Balkans,Athens,Maroneia,3
Hellenistic,Balkans,Balkans,Athens,Medon (Akarnania),1
Hellenistic,Balkans,Balkans,Athens,Megalopolis,1
Hellenistic,Balkans,Balkans,Athens,Megara (Megaris),312
Hellenistic,Balkans,Balkans,Athens,Mesembria,3
Hellenistic,Balkans,Balkans,Athens,Messene (Messenia),7
